Dates,RLG Index_Last,RLG Index_Open,RLG Index_High,RLG Index_Low,RLG Index_Volume
1995-07-31,270.03,,,,234711600
1995-08-01,268.633,,,,279528288
1995-08-02,266.791,,,,331627712
1995-08-03,265.887,,,,318595808
1995-08-04,266.793,,,,227504304
1995-08-07,267.479,,,,193814000
1995-08-08,267.839,,,,227343504
1995-08-09,268.415,,,,252600000
1995-08-10,267.716,,,,233785792
1995-08-11,266.796,,,,224535904
1995-08-14,269.594,,,,205355392
1995-08-15,269.201,,,,256136496
1995-08-16,270.46,,,,315358400
1995-08-17,270.062,,,,276660992
1995-08-18,269.959,,,,284759904
1995-08-21,268.468,,,,260177904
1995-08-22,269.581,,,,256658896
1995-08-23,269.134,,,,242656800
1995-08-24,269.024,,,,254772000
1995-08-25,269.451,,,,200692800
1995-08-28,267.558,,,,206604400
1995-08-29,267.93,,,,307311296
1995-08-30,269.151,,,,272510208
1995-08-31,269.988,,,,231293904
1995-09-01,269.803,,,,196718208
1995-09-04,273.82,,,,196718208
1995-09-05,273.17,,,,261481200
1995-09-06,274.354,,,,287808096
1995-09-07,274.509,,,,274914496
1995-09-08,275.647,,,,253655200
1995-09-11,276.771,,,,252660704
1995-09-12,277.307,,,,269111712
1995-09-13,279.168,,,,288336000
1995-09-14,280.811,,,,304506912
1995-09-15,279.816,,,,425942496
1995-09-18,280.465,,,,283932704
1995-09-19,282.05,,,,327916096
1995-09-20,283.604,,,,362963104
1995-09-21,282.29,,,,317014112
1995-09-22,282.148,,,,292765696
1995-09-25,281.829,,,,230188000
1995-09-26,281.662,,,,298435296
1995-09-27,280.466,,,,393849792
1995-09-28,283.161,,,,326271296
1995-09-29,281.92,,,,291334592
1995-10-02,280.147,,,,256045104
1995-10-03,280.344,,,,314483488
1995-10-04,279.015,,,,305463392
1995-10-05,280.236,,,,319486304
1995-10-06,279.79,,,,300992704
1995-10-09,276.433,,,,311698208
1995-10-10,275.543,,,,435864288
1995-10-11,277.044,,,,332093184
1995-10-12,279.835,,,,291660704
1995-10-13,280.426,,,,302019104
1995-10-16,279.815,,,,229179104
1995-10-17,282.658,,,,317730592
1995-10-18,283.845,,,,409940288
1995-10-19,285.448,,,,360444288
1995-10-20,283.124,,,,328300192
1995-10-23,282.72,,,,279755488
1995-10-24,283.601,,,,305458208
1995-10-25,281.255,,,,329428992
1995-10-26,278.964,,,,364305216
1995-10-27,280.274,,,,322977600
1995-10-30,282.743,,,,296157184
1995-10-31,281.901,,,,300544896
1995-11-01,283.131,,,,285143808
1995-11-02,286.039,,,,323672096
1995-11-03,287.283,,,,280553408
1995-11-06,285.921,,,,247183504
1995-11-07,284.171,,,,389513600
1995-11-08,286.459,,,,321799904
1995-11-09,288.723,,,,310718912
1995-11-10,288.475,,,,246994896
1995-11-13,288.012,,,,224547808
1995-11-14,285.719,,,,282605792
1995-11-15,288.154,,,,304818208
1995-11-16,289.716,,,,333594400
1995-11-17,290.291,,,,318442912
1995-11-20,287.789,,,,272675904
1995-11-21,288.427,,,,367177696
1995-11-22,286.814,,,,288705600
1995-11-23,288.85,,,,288705600
1995-11-24,288.288,,,,86364800
1995-11-27,288.329,,,,287604288
1995-11-28,291.776,,,,326797504
1995-11-29,292.683,,,,330377504
1995-11-30,292.497,,,,332791008
1995-12-01,291.954,,,,293750592
1995-12-04,295.058,,,,314041984
1995-12-05,296.938,,,,370726208
1995-12-06,297.722,,,,355205600
1995-12-07,296.263,,,,317222304
1995-12-08,297.177,,,,270079808
1995-12-11,297.738,,,,262863696
1995-12-12,296.925,,,,274788000
1995-12-13,298.114,,,,323758304
1995-12-14,294.966,,,,373517600
1995-12-15,293.958,,,,512535296
1995-12-18,288.511,,,,383825600
1995-12-19,291.382,,,,402314592
1995-12-20,287.942,,,,363873312
1995-12-21,290.576,,,,344849216
1995-12-22,291.935,,,,241453504
1995-12-25,293.82,,,,241453504
1995-12-26,293.226,,,,159425504
1995-12-27,293.017,,,,191491392
1995-12-28,292.313,,,,242975600
1995-12-29,293.664,,,,278653600
1996-01-01,293.664,,,,278653600
1996-01-02,295.896,,,,289504192
1996-01-03,295.374,,,,375971584
1996-01-04,293.35,,,,463369312
1996-01-05,292.044,,,,400018112
1996-01-08,292.791,,,,91440096
1996-01-09,286.74,,,,412760992
1996-01-10,282.364,,,,494972192
1996-01-11,285.507,,,,383313216
1996-01-12,285.154,,,,341804896
1996-01-15,283.37,,,,299028288
1996-01-16,286.931,,,,414995296
1996-01-17,286.319,,,,515950592
1996-01-18,288.277,,,,403826112
1996-01-19,290.617,,,,436123584
1996-01-22,291.964,,,,333473504
1996-01-23,292.052,,,,355956096
1996-01-24,296.225,,,,434067200
1996-01-25,294.361,,,,397513088
1996-01-26,296.984,,,,325632608
1996-01-29,297.378,,,,275337696
1996-01-30,300.831,,,,368324512
1996-01-31,303.229,,,,394077696
1996-02-01,304.998,,,,376573088
1996-02-02,304.049,,,,349782304
1996-02-05,307.308,,,,350992608
1996-02-06,309.37,,,,427001312
1996-02-07,310.631,,,,430579808
1996-02-08,314.292,,,,405101792
1996-02-09,314.577,,,,380614912
1996-02-12,315.832,,,,306688192
1996-02-13,315.028,,,,365032896
1996-02-14,313.378,,,,332124896
1996-02-15,312.392,,,,314096992
1996-02-16,311.163,,,,319874400
1996-02-19,308.87,,,,319874400
1996-02-20,308.283,,,,298198496
1996-02-21,311.761,,,,328225984
1996-02-22,317.049,,,,425593792
1996-02-23,317.391,,,,388201312
1996-02-26,313.668,,,,296554496
1996-02-27,311.709,,,,333186112
1996-02-28,310.951,,,,343812192
1996-02-29,308.498,,,,360265984
1996-03-01,308.781,,,,446785984
1996-03-04,312.399,,,,361278400
1996-03-05,315.459,,,,372036000
1996-03-06,312.913,,,,361765088
1996-03-07,314.227,,,,332006016
1996-03-08,304.96,,,,450268192
1996-03-11,307.886,,,,346977504
1996-03-12,306.343,,,,334955392
1996-03-13,307.114,,,,339162112
1996-03-14,307.827,,,,385481888
1996-03-15,309.528,,,,445223296
1996-03-18,313.484,,,,351473792
1996-03-19,311.726,,,,338521600
1996-03-20,311.025,,,,340569984
1996-03-21,310.526,,,,296176512
1996-03-22,311.226,,,,270213888
1996-03-25,309.579,,,,285894496
1996-03-26,310.647,,,,351756896
1996-03-27,309.209,,,,321906912
1996-03-28,309.344,,,,302485184
1996-03-29,308.339,,,,328565088
1996-04-01,312.256,,,,302907104
1996-04-02,312.727,,,,299955712
1996-04-03,313.42,,,,305368384
1996-04-04,313.331,,,,286825984
1996-04-05,309.16,,,,286825984
1996-04-08,308.592,,,,389877600
1996-04-09,307.053,,,,377734304
1996-04-10,302.815,,,,400772096
1996-04-11,301.296,,,,426991808
1996-04-12,304.299,,,,324553792
1996-04-15,306.849,,,,279535488
1996-04-16,309.127,,,,386542592
1996-04-17,307.136,,,,356876608
1996-04-18,309.341,,,,340037600
1996-04-19,309.938,,,,330479392
1996-04-22,311.881,,,,336338496
1996-04-23,313.582,,,,372666816
1996-04-24,313.735,,,,454755584
1996-04-25,315.451,,,,391107488
1996-04-26,315.777,,,,334319488
1996-04-29,315.899,,,,263487808
1996-04-30,316.214,,,,292713984
1996-05-01,316.991,,,,309804096
1996-05-02,311.344,,,,355834592
1996-05-03,310.893,,,,347360000
1996-05-06,310.675,,,,291360800
1996-05-07,309.138,,,,305218688
1996-05-08,311.465,,,,367452704
1996-05-09,311.74,,,,304385216
1996-05-10,315.452,,,,316688608
1996-05-13,320.717,,,,340984800
1996-05-14,323.106,,,,381212800
1996-05-15,323.317,,,,369697888
1996-05-16,324.131,,,,325705216
1996-05-17,325.648,,,,332538112
1996-05-20,327.807,,,,282198016
1996-05-21,327.204,,,,310199104
1996-05-22,329.153,,,,328325312
1996-05-23,328.666,,,,330272512
1996-05-24,329.947,,,,260845504
1996-05-27,327.16,,,,260845504
1996-05-28,326.676,,,,268534784
1996-05-29,324.571,,,,324438112
1996-05-30,327.325,,,,314985088
1996-05-31,326.913,,,,302011584
1996-06-03,326.332,,,,249148896
1996-06-04,328.664,,,,313476896
1996-06-05,331.689,,,,294984704
1996-06-06,329.153,,,,346607008
1996-06-07,329.309,,,,353036704
1996-06-10,328.898,,,,242160608
1996-06-11,328.416,,,,292484416
1996-06-12,328.289,,,,302472096
1996-06-13,327.239,,,,300201984
1996-06-14,325.854,,,,275481504
1996-06-17,325.125,,,,238519808
1996-06-18,322.227,,,,339479200
1996-06-19,322.693,,,,358364896
1996-06-20,322.191,,,,402466912
1996-06-21,324.612,,,,408597312
1996-06-24,325.97,,,,281410592
