Dates,RTY Index_Last,RTY Index_Open,RTY Index_High,RTY Index_Low,RTY Index_Volume
2016-06-10,1163.931,1178.382,1178.382,1161.273,250686496
2016-06-13,1150.699,1162.529,1164.901,1149.481,247985808
2016-06-14,1147.823,1149.589,1153.219,1141.232,247783936
2016-06-15,1149.302,1148.086,1157.965,1148.086,251742464
2016-06-16,1148.191,1147.862,1148.86,1133.102,259726880
2016-06-17,1144.698,1148.961,1151.691,1141.487,796756352
2016-06-20,1157.701,1146.395,1167.121,1146.395,255671584
2016-06-21,1153.871,1158.118,1158.851,1147.773,247301248
2016-06-22,1148.971,1154.154,1161.28,1148.7,233750592
2016-06-23,1172.222,1151.513,1172.223,1151.513,259996336
2016-06-24,1127.538,1162.923,1162.923,1123.488,1322136576
2016-06-27,1089.646,1123.806,1123.806,1085.883,384789696
2016-06-28,1107.298,1092.172,1110.502,1092.172,312268448
2016-06-29,1131.617,1110.787,1132.62,1110.787,313079616
2016-06-30,1151.923,1132.145,1152.029,1128.908,407817152
2016-07-01,1156.77,1151.753,1161.053,1151.251,258155904
2016-07-04,1156.77,1151.753,1161.053,1151.251,258155904
2016-07-05,1139.453,1155.465,1155.465,1133.63,264966032
2016-07-06,1147.333,1138.92,1147.91,1131.713,276578656
2016-07-07,1149.756,1147.632,1156.891,1143.424,240015824
2016-07-08,1177.36,1152.239,1178.118,1152.239,312047744
2016-07-11,1190.033,1179.19,1192.036,1179.19,265490160
2016-07-12,1205.888,1191.979,1211.773,1191.979,294933760
2016-07-13,1201.161,1206.857,1210.381,1197.872,251031040
2016-07-14,1202.171,1203.356,1209.913,1201.904,216406240
2016-07-15,1205.309,1203.521,1208.239,1201.671,230575632
2016-07-18,1207.906,1205.285,1210.638,1202.486,208637616
2016-07-19,1200.445,1207.245,1207.245,1198.779,214910912
2016-07-20,1209.745,1201.429,1212.078,1198.398,221859760
2016-07-21,1203.86,1209.566,1213.519,1201.406,241005696
2016-07-22,1212.889,1204.115,1214.163,1202.226,217696304
2016-07-25,1209.822,1212.844,1212.844,1207.199,231690816
2016-07-26,1216.859,1209.506,1217.125,1208.755,256053360
2016-07-27,1218.927,1217.459,1222.261,1212.827,280374496
2016-07-28,1217.325,1218.733,1219.486,1214.262,266820672
2016-07-29,1219.942,1217.087,1224.772,1210.25,397945376
2016-08-01,1219.125,1220.295,1224.461,1214.638,286394816
2016-08-02,1202.349,1219.005,1219.045,1199.6,317080352
2016-08-03,1212.725,1201.871,1212.739,1198.731,302308608
2016-08-04,1213.759,1212.78,1219.092,1211.981,277352864
2016-08-05,1231.299,1215.697,1232.866,1215.697,297186656
2016-08-08,1230.422,1231.315,1235.784,1228.886,252696832
2016-08-09,1231.745,1230.528,1233.292,1229.435,265102448
2016-08-10,1223.275,1231.703,1232.835,1220.748,267337904
2016-08-11,1229.116,1224.001,1231.001,1223.746,245498880
2016-08-12,1229.82,1228.852,1231.651,1225.038,222443504
2016-08-15,1241.864,1230.533,1243.829,1230.533,242854464
2016-08-16,1231.129,1241.682,1241.682,1230.736,232037184
2016-08-17,1227.682,1230.979,1230.979,1221.722,216943248
2016-08-18,1236.849,1227.421,1236.849,1227.421,221469936
2016-08-19,1236.769,1236.486,1237.389,1231.762,290402592
2016-08-22,1239.744,1236.6,1239.744,1231.999,211097216
2016-08-23,1248.581,1240.603,1251.328,1240.603,223780720
2016-08-24,1237.25,1248.475,1248.906,1235.472,251592944
2016-08-25,1240.005,1236.404,1243.295,1234.413,227812656
2016-08-26,1238.031,1240.138,1250.18,1231.267,239020864
2016-08-29,1244.943,1238.317,1248.221,1238.317,200364336
2016-08-30,1246.03,1245.076,1248.434,1241.544,239210016
2016-08-31,1239.907,1245.636,1245.636,1233.123,384535520
2016-09-01,1239.804,1240.067,1242.09,1228.779,247279248
2016-09-02,1251.831,1241.432,1251.831,1241.432,225008896
2016-09-05,1251.831,1241.432,1251.831,1241.432,225008896
2016-09-06,1253.37,1252.449,1254.41,1246.461,242983024
2016-09-07,1261.008,1253.215,1261.119,1252.406,286982272
2016-09-08,1258.359,1260.478,1260.478,1254.935,251124512
2016-09-09,1219.21,1256.303,1256.303,1219.196,325976640
2016-09-12,1235.871,1218.629,1235.873,1211.661,290006304
