Dates,SPX Index_Last,SPX Index_Open,SPX Index_High,SPX Index_Low,SPX Index_Volume
2001-07-30,1204.52,1205.82,1209.05,1200.41,1068438720
2001-07-31,1211.23,1204.52,1222.74,1204.52,1368941056
2001-08-01,1215.93,1211.23,1223.04,1211.23,1575703040
2001-08-02,1220.75,1215.93,1226.27,1215.31,1467333760
2001-08-03,1214.35,1220.75,1220.75,1205.31,1040812032
2001-08-06,1200.48,1211.9,1211.9,1197.35,932186176
2001-08-07,1204.4,1200.47,1207.56,1195.64,1155591552
2001-08-08,1183.53,1204.4,1206.79,1181.27,1404088064
2001-08-09,1183.43,1183.53,1184.71,1174.68,1287997952
2001-08-10,1190.16,1183.43,1193.33,1169.55,1185634944
2001-08-13,1191.29,1190.16,1193.82,1185.12,991193472
2001-08-14,1186.73,1191.29,1198.79,1184.26,1074485760
2001-08-15,1178.02,1186.73,1191.21,1177.61,1260714752
2001-08-16,1181.66,1178.02,1181.8,1166.08,1282685952
2001-08-17,1161.97,1181.66,1181.66,1156.07,1195141248
2001-08-20,1171.41,1161.97,1171.41,1160.94,991966528
2001-08-21,1157.26,1171.41,1179.85,1156.56,1168799360
2001-08-22,1165.31,1157.26,1168.56,1153.34,1370411904
2001-08-23,1162.09,1165.31,1169.86,1160.96,1227401344
2001-08-24,1184.93,1162.09,1185.15,1162.09,1334620160
2001-08-27,1179.21,1184.93,1186.85,1178.07,993956992
2001-08-28,1161.51,1179.21,1179.66,1161.17,1215168384
2001-08-29,1148.6,1161.51,1166.97,1147.38,1224779648
2001-08-30,1129.03,1148.6,1151.75,1124.87,1697118208
2001-08-31,1133.58,1129.03,1141.83,1126.38,1163063936
2001-09-03,1133.58,1129.03,1141.83,1126.38,1163063936
2001-09-04,1132.94,1133.58,1155.4,1129.06,1507312000
2001-09-05,1131.74,1132.94,1135.52,1114.86,1890009344
2001-09-06,1106.4,1131.74,1131.74,1105.83,1831026944
2001-09-07,1085.78,1106.4,1106.4,1082.12,1796475264
2001-09-10,1092.54,1085.78,1096.94,1073.15,1576632960
2001-09-11,1092.54,1085.78,1096.94,1073.15,1133600
2001-09-12,1092.54,1085.78,1096.94,1073.15,1133600
2001-09-13,1092.54,1085.78,1096.94,1073.15,1133600
2001-09-14,1092.54,1085.78,1096.94,1073.15,1133600
2001-09-17,1038.77,1092.54,1092.54,1037.46,2593525504
2001-09-18,1032.74,1038.77,1046.42,1029.25,1961741952
2001-09-19,1016.1,1032.74,1038.91,984.62,2531174912
2001-09-20,984.54,1016.1,1016.1,984.49,2239582976
2001-09-21,965.8,984.54,984.54,944.75,2959565824
2001-09-24,1003.45,965.8,1008.44,965.8,2146827392
2001-09-25,1012.27,1003.45,1017.14,998.33,2044088064
2001-09-26,1007.04,1012.27,1020.29,1002.62,1794332800
2001-09-27,1018.61,1007.04,1018.92,998.24,1865682944
2001-09-28,1040.94,1018.61,1040.94,1018.61,1994463232
2001-10-01,1038.55,1040.94,1040.94,1026.76,1478197376
2001-10-02,1051.33,1038.55,1051.33,1034.47,1672706560
2001-10-03,1072.28,1051.33,1075.38,1041.48,2437988352
