Dates,MID Index_Last,MID Index_Open,MID Index_High,MID Index_Low,MID Index_Volume
2013-06-13,1176.34,1155.4,1178.42,1153.42,97428480
2013-06-14,1172.13,1175.89,1180.63,1169.73,83460672
2013-06-17,1178.85,1176.59,1182.61,1173.74,90227240
2013-06-18,1188.31,1180.03,1190.47,1180,89964368
2013-06-19,1171.33,1188.07,1188.07,1171.26,98397992
2013-06-20,1140.23,1165.48,1165.48,1137.53,122907648
2013-06-21,1137.19,1141.14,1144.22,1127.23,290567232
2013-06-24,1124.7,1132.9,1133.96,1114.04,124877248
2013-06-25,1138.25,1129.7,1141.03,1126.17,108875584
2013-06-26,1146.19,1143.1,1150.71,1141.26,99939376
2013-06-27,1162.66,1150.17,1165.04,1150.17,92283800
2013-06-28,1160.82,1160.92,1166.7,1155.55,284066272
2013-07-01,1172.33,1163.34,1178.63,1163.34,101394736
2013-07-02,1170.68,1171.9,1180.7,1165.28,99941216
2013-07-03,1171.34,1167.96,1174.07,1165.17,68794096
2013-07-04,1171.34,1167.96,1174.07,1165.17,68794096
2013-07-05,1186.11,1176.22,1186.11,1169.79,79427008
2013-07-08,1188.3,1186.11,1193.44,1186.11,89613424
2013-07-09,1201.27,1188.3,1202.94,1188.3,95065576
2013-07-10,1201.13,1200.66,1202.92,1195.9,96040208
2013-07-11,1217.04,1206.63,1217.66,1206.63,101075872
2013-07-12,1221.24,1216.43,1221.95,1216.43,83950520
2013-07-15,1224.84,1222.14,1225.83,1219.81,80574816
2013-07-16,1217.04,1225.4,1226.75,1215.21,87396192
2013-07-17,1221.67,1219.01,1224.6,1218.39,86087304
2013-07-18,1232.64,1223.77,1233.85,1223.77,94984304
2013-07-19,1234.25,1231.58,1235.04,1229.32,122765464
2013-07-22,1239.19,1234.36,1240.07,1233.68,78248384
2013-07-23,1239.73,1241.23,1242.59,1236.55,90954488
2013-07-24,1229.85,1241.95,1243.04,1227.69,102377024
2013-07-25,1234.72,1227.86,1235.11,1225.47,100541656
2013-07-26,1228.27,1229.71,1229.71,1222.17,84617008
2013-07-29,1223.06,1226.61,1230.58,1219.97,87412616
2013-07-30,1226.98,1225.85,1229.9,1223.71,101034168
2013-07-31,1231.9,1228.71,1240.62,1228.71,122110840
2013-08-01,1257.72,1237.07,1261.18,1237.07,160139840
2013-08-02,1253.76,1255.16,1255.16,1249.45,98632632
2013-08-05,1253.38,1251.62,1254.4,1249.29,78193456
2013-08-06,1240.03,1250.9,1250.9,1237.77,92756944
2013-08-07,1230.88,1237.53,1237.53,1228.39,90516272
2013-08-08,1237.08,1233.28,1239.13,1231.04,95637736
2013-08-09,1237.7,1235.8,1240.78,1232.89,86585432
2013-08-12,1240.59,1234.36,1241.92,1231.25,81560072
2013-08-13,1239.08,1241.59,1241.77,1231.37,80439272
2013-08-14,1231.07,1236.94,1237.69,1231.03,81072752
2013-08-15,1209.58,1224.72,1224.72,1207.32,96729472
2013-08-16,1205.7,1208.08,1212.93,1204.57,101114344
2013-08-19,1197.72,1204.81,1207.58,1197.64,82977424
2013-08-20,1212.38,1198.66,1214.45,1198.54,83570984
2013-08-21,1202.8,1209.86,1214.19,1200.51,94046680
2013-08-22,1215.73,1204.53,1216.7,1204.53,68170528
2013-08-23,1217.43,1216.83,1218.22,1209.54,79594136
2013-08-26,1217.83,1217.88,1224.06,1215.28,71639416
2013-08-27,1192.91,1212.24,1212.24,1192.91,88791024
2013-08-28,1196.07,1192.52,1200.54,1190.94,75798688
2013-08-29,1201.33,1194.84,1206.1,1194.28,73193984
2013-08-30,1183.87,1201.59,1201.87,1181.95,103482304
2013-09-02,1183.87,1201.59,1201.87,1181.95,103482304
2013-09-03,1181.48,1188.77,1200.97,1170.62,185201152
2013-09-04,1194.37,1181.98,1195.59,1179.01,111496440
2013-09-05,1196.81,1194.38,1200.85,1194.38,89814032
2013-09-06,1198.69,1199.66,1206.08,1186.6,98951728
2013-09-09,1217.2,1200.41,1217.33,1200.41,85676888
2013-09-10,1229.25,1220.58,1229.32,1220.58,97930592
2013-09-11,1230.49,1228.01,1230.91,1223.53,83852848
2013-09-12,1226.67,1230.64,1232.5,1225.12,85229536
2013-09-13,1229.4,1228,1229.59,1223.66,76160584
2013-09-16,1235.47,1234.36,1244.03,1234.04,90518128
2013-09-17,1245.13,1235.24,1245.13,1235.24,87349464
2013-09-18,1257.39,1244.72,1258.96,1237.03,97916832
2013-09-19,1254.56,1258.95,1260.78,1253.35,94218872
2013-09-20,1245.4,1255.5,1257.63,1245.36,295382784
2013-09-23,1239.92,1244.28,1244.28,1234.46,99340928
2013-09-24,1241.48,1240.18,1248.72,1235.82,102870152
2013-09-25,1242.52,1242.17,1248.81,1238.2,95959568
2013-09-26,1248.91,1243.4,1251.61,1242.87,98252672
2013-09-27,1244.18,1245.1,1246.87,1240.88,81102000
2013-09-30,1243.85,1239.37,1246.99,1231.33,128254704
2013-10-01,1262.37,1244.61,1265.61,1243.69,188206368
2013-10-02,1258.39,1257.98,1260.06,1249.33,97601296
2013-10-03,1247.91,1256.79,1256.79,1239.76,118864304
2013-10-04,1255.44,1248.08,1257.98,1248.08,85462592
2013-10-07,1242.2,1250.5,1250.62,1242.2,92608240
2013-10-08,1225.8,1241.97,1244,1225.8,103491288
2013-10-09,1222.86,1227.21,1228.35,1216.78,118383456
2013-10-10,1250.05,1228.34,1250.05,1228.34,105992896
2013-10-11,1261.2,1248.46,1261.3,1246.61,88786368
2013-10-14,1266.11,1257.03,1266.26,1252.91,96373952
2013-10-15,1253.44,1264.42,1264.42,1251.24,105274576
2013-10-16,1269.17,1256.41,1269.34,1256.41,97267600
2013-10-17,1279.63,1266.89,1280.19,1264.93,114058984
2013-10-18,1290.59,1282.21,1290.8,1280.64,127471496
2013-10-21,1290.46,1290.89,1292.09,1287.65,99142560
2013-10-22,1297.54,1292.69,1302.41,1292.14,110970904
2013-10-23,1289.06,1293.13,1293.13,1283.39,114646016
2013-10-24,1291.33,1289.91,1293.15,1287.46,120574272
2013-10-25,1295.1,1293.72,1295.1,1288.22,110367272
2013-10-28,1294.1,1294.82,1296.2,1289.47,103719280
2013-10-29,1299.79,1295.27,1299.87,1291.63,104653232
2013-10-30,1290.88,1300.24,1302.38,1287.26,106118944
2013-10-31,1289.18,1291.08,1298.6,1285.83,136219056
2013-11-01,1290.71,1290.7,1294.19,1281.24,117019544
2013-11-04,1299.93,1292.74,1300.66,1290.9,102384056
2013-11-05,1290.81,1298.08,1298.08,1288.01,127359152
2013-11-06,1290.52,1293.77,1298.95,1288.24,100179472
2013-11-07,1267.71,1290.72,1294.94,1267.62,140150784
2013-11-08,1285.86,1268.73,1285.99,1268.72,121177440
2013-11-11,1291.37,1285.7,1292,1284.52,89278920
2013-11-12,1289.04,1288.95,1289.61,1282.87,112869040
2013-11-13,1302.06,1285.2,1302.14,1283.26,103730240
2013-11-14,1307.73,1302.14,1308.13,1299.33,89855888
2013-11-15,1311.77,1308.64,1311.77,1306.37,96045408
2013-11-18,1302.2,1312.45,1314,1299.72,97933608
2013-11-19,1292.87,1301.21,1303.06,1289.86,93192992
2013-11-20,1290.15,1294.19,1300.01,1286.11,89017232
2013-11-21,1306.15,1292.85,1306.25,1292.85,95239168
2013-11-22,1308.81,1306.16,1309.27,1303.38,82554512
2013-11-25,1305.78,1310.61,1310.99,1303.59,78394336
2013-11-26,1306.4,1305.82,1309.12,1302.66,100256112
2013-11-27,1308.71,1307.14,1309.19,1304.06,73048584
2013-11-28,1308.71,1307.14,1309.19,1304.06,73048584
2013-11-29,1304.18,1309.87,1310.72,1304.01,55801176
2013-12-02,1303.64,1304.1,1315.03,1296.87,101130640
2013-12-03,1299.17,1301.43,1305.75,1294.44,106661160
2013-12-04,1297.6,1296.52,1303.15,1287,101856064
2013-12-05,1299.05,1296.41,1299.05,1292.05,101281992
2013-12-06,1309.68,1303.22,1312.83,1303.22,98426464
2013-12-09,1311,1310.5,1315.59,1309.24,98221856
2013-12-10,1306.97,1309.33,1316.39,1306.91,94771008
2013-12-11,1285.03,1307.62,1308.3,1283.82,101177280
2013-12-12,1285.16,1284.38,1288.84,1281.68,108505048
2013-12-13,1289.42,1287.01,1293,1284.08,91715752
2013-12-16,1299.66,1292.22,1301.11,1292.22,96506272
2013-12-17,1299.24,1299.68,1300.86,1291.97,95201136
2013-12-18,1314.81,1300.72,1314.89,1289.57,117927560
2013-12-19,1304.34,1312.44,1312.44,1303.17,102126720
2013-12-20,1318.85,1304.69,1319.6,1304.69,337304384
2013-12-23,1328.94,1322.6,1329.13,1322.6,96947104
2013-12-24,1334.42,1328.87,1335.23,1328.87,41114184
2013-12-25,1334.42,1328.87,1335.23,1328.87,41114184
2013-12-26,1335.39,1336.47,1341.84,1334.33,62439588
2013-12-27,1336.3,1336.53,1339.23,1334.58,60493360
2013-12-30,1338.21,1336.01,1339.96,1334.92,66675076
2013-12-31,1342.53,1339.61,1344.08,1339.61,79622344
2014-01-01,1342.53,1339.61,1344.08,1339.61,79622344
2014-01-02,1328.23,1339.99,1339.99,1324.52,105015264
2014-01-03,1333.78,1329.32,1336.14,1329.32,81055608
2014-01-06,1325.21,1335.35,1337.97,1324.97,119702344
2014-01-07,1336.58,1327.37,1339.19,1327.37,114320112
2014-01-08,1338.51,1336.52,1340.29,1330.58,140229504
2014-01-09,1340.02,1339.91,1344.35,1332.81,108106816
2014-01-10,1349.09,1341.02,1349.14,1340.39,104963664
2014-01-13,1329.87,1347.04,1347.51,1326.43,122308088
2014-01-14,1346.08,1332.4,1346.8,1332.04,100707520
2014-01-15,1353.75,1347.61,1354.65,1347.61,111890232
2014-01-16,1352.06,1352.41,1353.12,1349.06,105244488
