Dates,BCOMTR Index_Last,BCOMTR Index_Open,BCOMTR Index_High,BCOMTR Index_Low
1995-06-14,117.383,117.383,117.383,117.383
1995-06-15,117.741,117.741,117.741,117.741
1995-06-16,117.076,117.076,117.076,117.076
1995-06-19,117.222,117.222,117.222,117.222
1995-06-20,117.305,117.305,117.305,117.305
1995-06-21,116.809,116.809,116.809,116.809
1995-06-22,117.059,117.059,117.059,117.059
1995-06-23,116.936,116.936,116.936,116.936
1995-06-26,116.048,116.048,116.048,116.048
1995-06-27,115.882,115.882,115.882,115.882
1995-06-28,116.408,116.408,116.408,116.408
1995-06-29,115.91,115.91,115.91,115.91
1995-06-30,115.079,115.079,115.079,115.079
1995-07-03,115.143,115.143,115.143,115.143
1995-07-04,115.143,115.143,115.143,115.143
1995-07-05,114.668,114.668,114.668,114.668
1995-07-06,115.259,115.259,115.259,115.259
1995-07-07,114.9,114.9,114.9,114.9
1995-07-10,115.696,115.696,115.696,115.696
1995-07-11,115.878,115.878,115.878,115.878
1995-07-12,116.628,116.628,116.628,116.628
1995-07-13,115.839,115.839,115.839,115.839
1995-07-14,116.662,116.662,116.662,116.662
1995-07-17,117.437,117.437,117.437,117.437
1995-07-18,117.507,117.507,117.507,117.507
1995-07-19,116.179,116.179,116.179,116.179
1995-07-20,115.687,115.687,115.687,115.687
1995-07-21,116.378,116.378,116.378,116.378
1995-07-24,116.374,116.374,116.374,116.374
1995-07-25,116.538,116.538,116.538,116.538
1995-07-26,117.779,117.779,117.779,117.779
1995-07-27,117.408,117.408,117.408,117.408
1995-07-28,117.35,117.35,117.35,117.35
1995-07-31,117.314,117.314,117.314,117.314
1995-08-01,116.841,116.841,116.841,116.841
1995-08-02,116.921,116.921,116.921,116.921
1995-08-03,117.052,117.052,117.052,117.052
1995-08-04,116.784,116.784,116.784,116.784
1995-08-07,116.609,116.609,116.609,116.609
1995-08-08,116.866,116.866,116.866,116.866
1995-08-09,117.016,117.016,117.016,117.016
1995-08-10,117.037,117.037,117.037,117.037
1995-08-11,117.031,117.031,117.031,117.031
1995-08-14,117.092,117.092,117.092,117.092
1995-08-15,117.151,117.151,117.151,117.151
1995-08-16,117.171,117.171,117.171,117.171
1995-08-17,117.863,117.863,117.863,117.863
1995-08-18,118.432,118.432,118.432,118.432
1995-08-21,119.659,119.659,119.659,119.659
1995-08-22,119.464,119.464,119.464,119.464
1995-08-23,119.628,119.628,119.628,119.628
1995-08-24,119.406,119.406,119.406,119.406
1995-08-25,119.265,119.265,119.265,119.265
1995-08-28,119.314,119.314,119.314,119.314
1995-08-29,118.914,118.914,118.914,118.914
1995-08-30,118.217,118.217,118.217,118.217
1995-08-31,119.317,119.317,119.317,119.317
1995-09-01,119.765,119.765,119.765,119.765
1995-09-04,119.765,119.765,119.765,119.765
1995-09-05,120.152,120.152,120.152,120.152
1995-09-06,119.755,119.755,119.755,119.755
1995-09-07,119.849,119.849,119.849,119.849
1995-09-08,119.96,119.96,119.96,119.96
1995-09-11,120.11,120.11,120.11,120.11
1995-09-12,120.593,120.593,120.593,120.593
1995-09-13,120.1,120.1,120.1,120.1
1995-09-14,120.552,120.552,120.552,120.552
1995-09-15,121.019,121.019,121.019,121.019
1995-09-18,122.104,122.104,122.104,122.104
1995-09-19,121.718,121.718,121.718,121.718
1995-09-20,120.987,120.987,120.987,120.987
1995-09-21,121.364,121.364,121.364,121.364
1995-09-22,120.077,120.077,120.077,120.077
1995-09-25,120.054,120.054,120.054,120.054
1995-09-26,120.08,120.08,120.08,120.08
1995-09-27,119.959,119.959,119.959,119.959
1995-09-28,120.582,120.582,120.582,120.582
1995-09-29,120.453,120.453,120.453,120.453
1995-10-02,120.485,120.485,120.485,120.485
1995-10-03,119.918,119.918,119.918,119.918
1995-10-04,119.836,119.836,119.836,119.836
1995-10-05,118.703,118.703,118.703,118.703
1995-10-06,118.825,118.825,118.825,118.825
1995-10-09,118.825,118.825,118.825,118.825
1995-10-10,119.547,119.547,119.547,119.547
1995-10-11,119.756,119.756,119.756,119.756
1995-10-12,119.349,119.349,119.349,119.349
1995-10-13,119.966,119.966,119.966,119.966
1995-10-16,120.207,120.207,120.207,120.207
1995-10-17,119.565,119.565,119.565,119.565
1995-10-18,119.494,119.494,119.494,119.494
1995-10-19,119.833,119.833,119.833,119.833
1995-10-20,120.078,120.078,120.078,120.078
1995-10-23,120.209,120.209,120.209,120.209
1995-10-24,120.198,120.198,120.198,120.198
1995-10-25,120.421,120.421,120.421,120.421
1995-10-26,121.041,121.041,121.041,121.041
1995-10-27,120.749,120.749,120.749,120.749
1995-10-30,121.078,121.078,121.078,121.078
1995-10-31,121.481,121.481,121.481,121.481
1995-11-01,122.063,122.063,122.063,122.063
1995-11-02,122.813,122.813,122.813,122.813
1995-11-03,122.353,122.353,122.353,122.353
1995-11-06,122.264,122.264,122.264,122.264
1995-11-07,122.352,122.352,122.352,122.352
