Dates,BCOM Index_Last,BCOM Index_Open,BCOM Index_High,BCOM Index_Low
2000-07-17,101.6829,101.592,101.957,101.592
2000-07-18,103.1257,101.713,105.683,101.713
2000-07-19,102.2697,103.063,103.162,102.2697
2000-07-20,101.9356,102.031,102.41,101.9356
2000-07-21,100.8852,101.856,101.98,100.8852
2000-07-24,99.4907,100.964,100.97,99.4907
2000-07-25,99.1324,99.343,99.681,99.1324
2000-07-26,99.2002,99.134,99.53,99.134
2000-07-27,99.7807,99.513,100.005,99.513
2000-07-28,99.8776,100.345,100.52,99.8776
2000-07-31,99.0044,99.603,99.613,99.0044
2000-08-01,99.6364,99.044,99.875,99.044
2000-08-02,100.7664,100.347,100.923,100.347
2000-08-03,100.7538,101.118,101.187,100.7538
2000-08-04,101.6325,100.829,101.784,100.829
2000-08-07,100.5354,101.546,101.581,100.5354
2000-08-08,101.0251,100.807,101.277,100.807
2000-08-09,101.8786,101.585,102.198,101.585
2000-08-10,102.8316,101.84,102.84,101.84
2000-08-11,102.9829,102.727,103.537,102.727
2000-08-14,103.2509,102.983,103.272,102.983
2000-08-15,102.8862,103.408,103.629,102.8862
2000-08-16,103.6102,103.022,103.645,103.022
2000-08-17,103.8571,103.871,104.6,103.8571
2000-08-18,104.2183,104.007,104.2183,104.007
2000-08-21,105.2951,105.181,105.542,105.181
2000-08-22,104.1362,105.376,105.562,104.1362
2000-08-23,104.9454,104.826,105.766,104.826
2000-08-24,104.818,105.032,105.133,104.818
2000-08-25,105.4018,104.991,105.415,104.991
2000-08-28,106.507,105.413,106.683,105.413
2000-08-29,107.0126,106.578,107.078,106.578
2000-08-30,107.924,107.023,108.023,107.023
2000-08-31,108.1696,108.041,108.658,108.041
2000-09-01,108.4174,108.102,108.544,108.102
2000-09-04,108.4174,108.102,108.544,108.102
2000-09-05,109.5395,109.192,109.733,109.192
2000-09-06,110.1072,109.744,110.155,109.744
2000-09-07,110.62,109.832,110.643,109.832
2000-09-08,109.3436,110.125,110.125,109.3436
2000-09-11,110.9523,109.12,111.662,109.12
2000-09-12,110.2859,111.354,111.683,110.2859
2000-09-13,109.4418,110.212,110.569,109.4418
2000-09-14,109.664,109.66,109.956,109.66
2000-09-15,110.3449,110.223,110.749,110.223
2000-09-18,111.1721,110.071,111.517,110.071
2000-09-19,110.6165,110.88,110.922,110.6165
2000-09-20,110.3186,111.014,111.313,110.3186
2000-09-21,109.7653,109.321,110.365,109.321
2000-09-22,108.5449,109.698,110.353,108.5449
2000-09-25,108.2395,107.443,108.653,107.443
2000-09-26,108.1991,108.671,108.922,108.1991
2000-09-27,108.4825,108.702,109.199,108.4825
2000-09-28,106.4608,108.483,108.483,106.4608
2000-09-29,106.975,107.063,107.324,106.975
2000-10-02,108.3767,107.866,108.447,107.866
2000-10-03,108.4194,108.137,108.6,108.137
2000-10-04,107.6212,107.75,107.846,107.6212
2000-10-05,106.5862,106.998,107.271,106.5862
2000-10-06,106.2992,106.857,106.857,106.2992
2000-10-09,107.4106,106.842,107.417,106.842
2000-10-10,109.3022,108.027,109.3022,108.027
2000-10-11,110.2331,109.955,110.288,109.955
2000-10-12,112.7173,110.745,113.498,110.745
2000-10-13,110.6136,112.559,112.569,110.6136
2000-10-16,108.6883,110.141,110.269,108.6883
2000-10-17,108.6119,108.298,109.161,108.298
2000-10-18,107.8793,109.355,109.381,107.8793
2000-10-19,106.5162,107.819,108.098,106.5162
2000-10-20,107.0807,106.803,107.189,106.803
2000-10-23,107.777,106.907,107.854,106.907
2000-10-24,107.0684,107.727,107.767,107.0684
2000-10-25,105.5776,107.086,107.086,105.5776
2000-10-26,105.1405,105.921,106.104,105.1405
2000-10-27,103.8635,105.039,105.071,103.8635
2000-10-30,103.538,104.013,104.553,103.538
2000-10-31,103.8204,103.544,104.006,103.544
2000-11-01,104.4093,104.461,104.975,104.4093
2000-11-02,104.4918,104.19,105.147,104.19
2000-11-03,105.3275,104.737,105.436,104.737
2000-11-06,105.2937,105.262,105.443,105.262
2000-11-07,106.4737,105.711,106.505,105.711
2000-11-08,107.1346,106.745,107.397,106.745
2000-11-09,107.7149,107.499,107.98,107.499
2000-11-10,107.4926,107.431,107.807,107.431
2000-11-13,108.0899,107.766,108.168,107.766
2000-11-14,109.4153,108.666,109.454,108.666
2000-11-15,110.9368,110.066,111.101,110.066
2000-11-16,109.4411,110.201,110.201,109.4411
2000-11-17,110.9498,109.357,110.994,109.357
2000-11-20,111.6874,111.567,112.414,111.567
2000-11-21,112.0437,111.678,112.471,111.678
2000-11-22,112.6458,111.653,112.928,111.653
2000-11-23,112.6458,111.653,112.928,111.653
2000-11-24,112.6458,111.653,112.928,111.653
2000-11-27,112.808,112.693,113.657,112.693
2000-11-28,110.8533,112.023,112.114,110.8533
2000-11-29,110.9126,110.629,111.686,110.629
2000-11-30,111.5902,111.65,112.628,111.5902
2000-12-01,110.3136,112.507,112.507,110.3136
2000-12-04,112.1747,111.72,114.368,111.72
2000-12-05,110.4997,112.281,113.345,110.4997
2000-12-06,114.118,112.617,114.584,112.617
2000-12-07,113.1953,117.108,117.108,113.1953
2000-12-08,113.0858,113.145,113.549,113.0858
2000-12-11,116.0914,115.55,116.32,115.55
2000-12-12,113.2493,115.636,115.834,113.2493
2000-12-13,111.4166,113.425,113.769,111.4166
2000-12-14,110.0598,111.536,111.855,110.0598
2000-12-15,112.056,110.883,112.599,110.883
2000-12-18,112.967,112.056,114.204,112.056
2000-12-19,113.1808,113.144,113.605,113.144
2000-12-20,111.6346,113.268,113.717,111.6346
2000-12-21,111.9795,112.252,112.903,111.9795
2000-12-22,111.5417,111.637,112.428,111.5417
2000-12-25,111.5417,111.637,112.428,111.5417
2000-12-26,112.3812,111.543,112.435,111.543
2000-12-27,112.9431,112.252,113.311,112.252
2000-12-28,112.5688,112.389,113.426,112.389
2000-12-29,114.6134,112.768,114.734,112.768
2001-01-01,114.6134,112.768,114.734,112.768
